workout,sport,kind,zone,role,summary_zone,lap,secs,np,pace,hr,cad
2026-07-16,bike,interval,Z3,work,Z5,1,31,258,105,,89
2026-07-16,bike,interval,Z4,work,Z5,2,31,282,101,,86
2026-07-16,bike,interval,Z4,work,Z5,3,31,278,119,,88
2026-07-16,bike,interval,Z4,work,Z5,4,31,272,118,,94
2026-07-16,bike,interval,Z4,work,Z5,5,39,276,113,,90
2026-07-16,bike,interval,Z3,work,Z5,6,32,246,86,,92
2026-07-16,bike,interval,Z2,work,Z5,7,43,196,97,,85
2026-07-16,bike,interval,Z3,work,Z5,8,38,237,98,,90
2026-07-16,bike,interval,Z3,work,Z5,9,33,220,175,,83
2026-07-16,bike,interval,Z5,work,Z5,10,241,325,107,,87
2026-07-16,bike,interval,Z5,work,Z5,11,231,318,110,,86
2026-07-16,bike,interval,Z5,work,Z5,12,230,312,108,,86
2026-07-16,bike,interval,Z4,work,Z5,13,241,290,111,,86
2026-07-17,run,interval,,,,1,359,300,359,123,157
2026-07-17,run,interval,,,,2,184,297,370,132,159
2026-07-17,run,interval,,,,3,295,343,296,149,160
2026-07-17,run,interval,,,,4,300,347,301,158,159
2026-07-17,run,interval,,,,5,317,334,318,157,158
2026-07-17,run,interval,,,,6,349,318,349,147,157
2026-07-17,run,interval,,,,7,371,294,371,138,160
2026-07-17,run,interval,,,,8,367,298,367,141,160
2026-07-17,run,interval,,,,9,339,329,339,148,162
2026-07-17,run,interval,,,,10,341,339,341,154,160
2026-07-19,run,interval,,,,1,393,265,394,119,160
2026-07-19,run,interval,,,,2,372,274,373,126,160
2026-07-19,run,interval,,,,3,357,306,357,136,159
2026-07-19,run,interval,,,,4,387,274,387,130,156
2026-07-19,run,interval,,,,5,276,257,391,123,160
2026-07-21,bike,interval,Z2,work,Z2,1,600,214,122,,83
2026-07-21,bike,interval,Z2,work,Z2,2,600,215,109,,85
2026-07-21,bike,interval,Z3,work,Z2,3,600,222,110,,86
2026-07-21,bike,interval,Z3,work,Z2,4,600,222,113,,84
2026-07-22,run,interval,,,,1,581,313,342,135,158
2026-07-22,run,interval,,,,2,1185,390,272,167,161
2026-07-23,bike,interval,Z4,work,Z4,1,252,273,103,148,86
2026-07-23,bike,interval,Z4,work,Z4,2,251,264,95,154,88
2026-07-23,bike,interval,Z4,work,Z4,3,251,284,112,159,89
2026-07-23,bike,interval,Z3,work,Z4,4,241,256,121,151,84
2026-07-23,bike,interval,Z4,work,Z4,5,237,285,112,158,86
2026-07-23,bike,interval,Z4,work,Z4,6,242,265,114,151,83
2026-07-24,run,interval,,,,1,3658,317,347,144,157
2026-07-25,run,interval,,,,1,955,366,301,168,162
2026-07-26,run,interval,,,,1,1831,301,353,134,156
2026-07-27,bike,interval,Z4,work,Z4,1,228,285,108,,88
2026-07-27,bike,interval,Z4,work,Z4,2,226,278,108,,89
2026-07-27,bike,interval,Z4,work,Z4,3,228,278,110,,87
2026-07-27,bike,interval,Z4,work,Z4,4,221,280,105,157,88
2026-07-27,bike,interval,Z4,work,Z4,5,249,276,107,155,86
2026-07-27,bike,interval,Z4,work,Z4,6,282,290,105,148,90
2026-07-28,run,interval,,,,1,152,430,244,165,167
2026-07-28,run,interval,,,,2,156,415,251,165,166
2026-07-28,run,interval,,,,3,155,416,252,167,164
2026-07-28,run,interval,,,,4,152,420,250,168,166
2026-07-28,run,interval,,,,5,147,435,241,169,168
2026-07-30,bike,interval,Z2,work,Z2,1,900,210,99,150,85
2026-07-30,bike,interval,Z2,work,Z2,2,900,209,98,156,83
2026-07-30,bike,interval,Z2,work,Z2,3,900,210,99,163,82
2026-07-31,run,interval,,,,1,3471,338,311,150,157
2026-08-01,bike,interval,Z5,work,Z4,1,444,350,133,,88
2026-08-01,bike,interval,Z4,work,Z4,2,776,301,120,,90
2026-08-01,bike,interval,Z5,work,Z4,3,416,307,138,,89
2026-08-01,bike,interval,Z4,work,Z4,4,234,275,72,,91
2026-08-01,bike,interval,Z6,work,Z4,5,117,353,84,,96
2026-08-02,run,interval,,,,1,2063,278,397,127,135
2026-08-03,bike,interval,Z4,work,Z4,1,236,291,104,151,90
2026-08-03,bike,interval,Z4,work,Z4,2,239,286,104,155,89
2026-08-03,bike,interval,Z4,work,Z4,3,230,296,102,158,90
2026-08-03,bike,interval,Z4,work,Z4,4,242,266,107,149,88
2026-08-03,bike,interval,Z4,work,Z4,5,228,283,104,154,90
2026-08-03,bike,interval,Z4,work,Z4,6,243,282,104,157,88
2026-08-03,bike,interval,Z5,work,Z4,7,25,341,128,160,90
2026-08-04,run,interval,,,,1,612,297,358,130,158
2026-08-04,run,interval,,,,2,541,372,280,155,161
2026-08-04,run,interval,,,,3,536,371,290,157,161
2026-08-04,run,interval,,,,4,543,378,277,163,163
2026-08-04,run,interval,,,,5,233,384,283,160,163
2026-08-05,bike,interval,Z3,work,Z3,1,588,254,103,149,88
2026-08-05,bike,interval,Z3,work,Z3,2,611,253,103,146,86
2026-08-05,bike,interval,Z3,work,Z3,3,591,257,99,147,88
2026-08-05,bike,interval,Z3,work,Z3,4,622,244,109,147,86
2026-08-06,bike,interval,Z2,work,Z2,1,898,210,254,143,85
2026-08-06,bike,interval,Z2,work,Z2,2,900,215,132,152,85
2026-08-06,bike,interval,Z2,work,Z2,3,900,215,103,159,84
2026-08-07,bike,long,Z1,steady,Z1,1,851,,,122,
2026-08-08,bike,long,Z2,steady,Z2,1,9432,199,,,91
2026-08-09,run,interval,,,,1,1079,260,407,109,159
2026-08-10,bike,interval,Z4,work,Z4,1,241,286,105,148,87
2026-08-10,bike,interval,Z4,work,Z4,2,240,281,107,149,87
2026-08-10,bike,interval,Z4,work,Z4,3,233,292,106,156,86
2026-08-10,bike,interval,Z4,work,Z4,4,246,277,107,152,85
2026-08-10,bike,interval,Z3,work,Z4,5,244,254,108,147,85
2026-08-11,run,interval,,,,1,260,415,258,149,165
2026-08-11,run,interval,,,,2,271,398,273,148,164
2026-08-11,run,interval,,,,3,277,355,288,150,163
2026-08-11,run,interval,,,,4,283,363,288,151,160
2026-08-12,bike,interval,Z3,work,Z3,1,601,256,103,145,92
2026-08-12,bike,interval,Z3,work,Z3,2,602,250,98,145,88
2026-08-12,bike,interval,Z3,work,Z3,3,617,248,107,146,84
2026-08-12,bike,interval,Z3,work,Z3,4,602,250,106,143,85
2026-08-13,bike,interval,Z3,work,Z3,1,900,225,98,147,86
2026-08-13,bike,interval,Z3,work,Z3,2,900,223,99,152,84
2026-08-13,bike,interval,Z3,work,Z3,3,900,224,113,154,83
2026-08-14,run,interval,,,,1,599,284,391,128,159
2026-08-15,bike,long,Z2,steady,Z2,1,9637,211,,,89
2026-08-16,run,interval,,,,1,334,302,334,114,149
2026-08-16,run,interval,,,,2,332,306,332,122,162
2026-08-17,bike,interval,Z4,work,Z4,1,240,296,107,145,88
2026-08-17,bike,interval,Z4,work,Z4,2,240,292,105,149,87
2026-08-17,bike,interval,Z4,work,Z4,3,240,294,109,150,84
2026-08-17,bike,interval,Z4,work,Z4,4,241,292,108,152,84
2026-08-17,bike,interval,Z4,work,Z4,5,240,296,106,153,86
2026-08-17,bike,interval,Z4,work,Z4,6,243,290,111,145,84
2026-08-18,run,interval,,,,1,1647,281,382,118,160
2026-08-19,bike,interval,Z3,work,Z3,1,606,255,105,,85
2026-08-19,bike,interval,Z3,work,Z3,2,599,254,104,,83
2026-08-19,bike,interval,Z3,work,Z3,3,586,252,107,,83
2026-08-19,bike,interval,Z3,work,Z3,4,572,254,109,,82
2026-08-20,bike,interval,Z3,work,Z3,1,895,235,95,153,83
2026-08-20,bike,interval,Z3,work,Z3,2,895,235,154,159,84
2026-08-20,bike,interval,Z3,work,Z3,3,895,235,298,164,83
2026-08-21,run,interval,,,,1,335,308,335,122,159
2026-08-21,run,interval,,,,2,329,310,329,142,164
2026-08-21,run,interval,,,,3,339,297,339,135,160
2026-08-21,run,interval,,,,4,329,311,329,141,161
2026-08-21,run,interval,,,,5,334,306,335,142,160
2026-08-21,run,interval,,,,6,336,289,336,133,138
2026-08-21,run,interval,,,,7,331,309,331,141,162
2026-08-21,run,interval,,,,8,341,299,341,144,162
2026-08-21,run,interval,,,,9,337,301,337,150,162
2026-08-21,run,interval,,,,10,355,288,355,142,163
